z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,AR,N2
0.0,0.053038661652052899,-9.049660874466058e-25,300.0,1.1312502640736888,0.0,6.3245897525927176e-21,0.0,0.19178082191780182,0.0,2.2848554871045886e-14,6.985316478989601e-20,0.0,0.0,0.0,0.0,0.0,1.7490298524771615e-19,0.086757990867565651,4.1179876454793562e-19,1.5745808732131982e-16,0.0,3.4483335101691311e-21,1.9595798176064056e-46,5.4956858174246246e-32,0.0,7.2020206690125494e-22,1.2627538527654946e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091324200913241692,0.71232876712328519
0.01,0.052394517641992849,0.064414401040622848,300.00000000194018,1.1312502640662903,0.0,2.2225380389933094e-27,0.0,0.19178082191763959,0.0,5.5653153351397267e-13,1.8488696874871624e-18,0.0,0.0,0.0,0.0,0.0,4.2856985307301446e-18,0.086757990867242465,1.091695510347173e-17,5.4289717080474091e-15,0.0,1.2033356441873487e-19,6.8793265306584324e-45,1.9312660862055348e-30,4.5699135975055448e-22,1.4091553027571647e-29,0.0,0.0,1.4505538320117978e-21,0.0,0.0,0.0,0.0,0.0,0.0091324200913235776,0.71232876712323245
0.02,0.050462085618862562,0.12882880209305109,300.00000004898055,1.1312502638867825,0.0,0.0,0.0,0.191780821913344,0.0,1.340427437807791e-11,4.6328669340650875e-18,0.0,0.0,1.5981641223244536e-46,0.0,0.0,1.5637197667980173e-17,0.086757990859680931,2.8622447836610452e-16,1.8504132263747634e-13,0.0,4.2424776039225194e-18,4.76536988309413e-44,1.1291339322786374e-29,1.6941785658447141e-20,2.658656381485595e-37,7.8908204521138751e-23,0.0,5.1258294428770401e-20,0.0,0.0,0.0,0.0,0.0,0.0091324200913103348,0.71232876712207516
0.029999999999999999,0.047241365746023244,0.19324320344771351,300.00000114916014,1.1312502596859022,0.0,0.0,0.0,0.1917808218036067,0.0,3.1176383396767626e-10,1.6455321997366694e-17,2.9600000602689828e-18,0.0,3.0627207793398846e-47,0.0,0.0,1.2839594537232156e-16,0.086757990689083769,7.2435585657364237e-15,6.0857491606432331e-12,2.4346683450089335e-38,1.4130171124229198e-16,1.3811874896273954e-42,3.8656824603108014e-28,5.7535663152203949e-19,4.7200715190801497e-45,2.5668387866039622e-21,0.0,1.660542121031525e-18,0.0,9.7365856135490811e-17,0.0,2.8458052855618103e-25,1.7216670844087929e-26,0.0091324200910349491,0.71232876709841741
0.040000000000000001,0.04273236128661783,0.25765761212924476,300.00002530805068,1.131250167390848,0.0,0.0,0.0,0.19178081917008866,4.0004056031576877e-26,6.8173045375778079e-09,2.4320234670122993e-16,1.4501200082846732e-16,0.0,0.0,0.0,0.0,2.0497491656550906e-15,0.086757987075925719,1.7228572083085951e-13,1.879425557279273e-10,1.1277583607310001e-35,4.4163422203234258e-15,4.491895006874766e-40,9.2721052566697225e-26,1.831973441098006e-17,7.4032654186410913e-53,7.5296318224674662e-20,7.2579317390241575e-40,5.0440438058792113e-17,0.0,3.7922080645937987e-15,0.0,1.0751201075858453e-23,6.7945790633259258e-25,0.0091324200858785304,0.71232876666267708
0.050000000000000003,0.036935128771102617,0.32207218060392534,300.00050748492936,1.1312483246027734,0.0,0.0,0.0,0.19178076169038807,1.6261069430633519e-23,1.3574824603440354e-07,5.1474519551766371e-15,3.2092039082569813e-15,0.0,1.0469202815190752e-42,0.0,0.0,3.5126846559459438e-14,0.086757917521211814,3.7294853616892623e-12,5.2750761134535305e-09,5.4961342401138345e-33,1.2544064693833774e-13,2.2723398961399142e-37,3.361409754446292e-23,5.3004643022910065e-16,5.5649702012846203e-53,2.0054031773719435e-18,3.4388235405778807e-37,1.3925625379039836e-15,0.0,1.178630484418187e-13,0.0,3.5269576809112852e-22,2.2314905691167558e-23,0.0091324200029122855,0.71232875975814736
0.059999999999999998,0.029850465379008064,0.38648966381189587,300.00889079079258,1.1312162796045453,0.0,0.0,0.0,0.19177966806335042,4.4170533728408125e-21,2.3617562644813508e-06,9.8291977981272506e-14,6.035088300963684e-14,0.0,0.0,6.6531887356528587e-32,3.5397784621754638e-33,5.0432853164320694e-13,0.086756750813913375,7.0478395003174974e-11,1.2896022503148655e-07,2.0048109454224771e-30,3.1031083819257045e-12,1.2271543348158249e-34,9.1612671479825987e-21,1.3354620935609144e-14,0.0,4.6538649563010499e-17,1.1944202681360049e-34,3.3491035569950951e-14,0.0,3.1511550209975178e-12,6.3993296868398401e-38,1.0054599278228432e-20,6.3617285953647973e-22,0.0091324189269546031,0.71232867140184952
0.065000000000000002,0.02582876657238474,0.41871455539628055,300.05471171595104,1.1310411704788397,0.0,0.0,0.0,0.1917731366190234,1.6715444233648241e-19,1.4445646411718913e-05,6.5191530742315317e-13,3.9482731083800155e-13,0.0,0.0,1.7154032130798425e-29,8.9297856553069431e-31,2.8692597414924927e-12,0.086750589575343512,4.6315876328343878e-10,1.0645538317555918e-06,1.1271814434747395e-28,2.5888951641527917e-11,1.7608134512662065e-32,3.4696348279517724e-19,1.1327001477324796e-13,0.0,3.6666459038292836e-16,5.906636470280702e-33,2.7243110007732378e-13,0.0,2.769443137829624e-11,8.9165861887941914e-36,9.537648078850232e-20,6.0346672295080611e-21,0.0091324149528753621,0.71232834813146995
0.070000000000000007,0.021504650187818573,0.45104892202272617,300.3628723725725,1.1298653286362936,0.0,3.2179580113510571e-27,0.0,0.19172532891839805,6.6829259068769412e-18,9.5145593794379536e-05,4.6456391988019504e-12,2.8088446142020927e-12,9.8407999631934292e-36,0.0,3.9308027922798106e-27,2.044040500427047e-28,1.619549398983393e-11,0.086710467180563799,3.2916238249486116e-09,9.6161343106236724e-06,1.2174530896526243e-26,2.3645332284464238e-10,5.2425482051435794e-30,1.3943952586840568e-17,1.0525735329228462e-12,0.0,3.1540698831814575e-15,4.2346373224571667e-31,2.4232466643595314e-12,0.0,2.6747885676889649e-10,1.0996106713242902e-33,9.9615147026916516e-19,6.3028815849429258e-20,0.0091323988241785413,0.71232703952606957
0.075000000000000011,0.016944364705205633,0.48399847896586967,302.13428553203863,1.1231581711597236,0.0,2.5626682549304927e-24,0.0,0.19142715649711567,1.8125862906509053e-16,0.00055431918324728947,2.9088232308186869e-11,1.7667181544602878e-11,2.0054397366558944e-34,0.0,4.7878937562842611e-25,2.498866315055118e-26,7.2825882919407603e-11,0.086487364672849315,2.0626045086138529e-08,7.5715094428100189e-05,1.7729068904241977e-24,1.88092609602648e-09,1.1004732772601577e-27,3.8936585408935067e-16,8.5134041757303048e-12,0.0,2.3701570171885478e-14,4.1819210718675555e-29,1.8799880005160794e-11,2.036349588145998e-22,2.2449720109144436e-09,1.170409263045047e-31,9.0127365817017058e-18,5.7026005197498131e-19,0.0091323503565709698,0.71232306929692657
